,Day,Month,Year,1St,2ตัวบน,3ตัวบน,2ตัวล่าง,3ตัวหน้า1,3ตัวหน้า2,3ตัวล่าง1,3ตัวล่าง,2ตัวบน_100,2ตัวบน_10,2ตัวบน_1,3ตัวบน_100,3ตัวบน_10,3ตัวบน_1,2ตัวล่าง_100,2ตัวล่าง_10,2ตัวล่าง_1,3ตัวหน้า1_100,3ตัวหน้า1_10,3ตัวหน้า1_1,3ตัวหน้า2_100,3ตัวหน้า2_10,3ตัวหน้า2_1,3ตัวล่าง1_100,3ตัวล่าง1_10,3ตัวล่าง1_1,3ตัวล่าง_100,3ตัวล่าง_10,3ตัวล่าง_1
0,16,12,2563,201303,3,303,70,377,828,72,517,0,0,3,3,0,3,0,7,0,3,7,7,8,2,8,0,7,2,5,1,7
1,1,12,2563,100994,94,994,84,93,776,834,984,0,9,4,9,9,4,0,8,4,0,9,3,7,7,6,8,3,4,9,8,4
2,16,11,2563,972661,61,661,46,368,741,208,255,0,6,1,6,6,1,0,4,6,3,6,8,7,4,1,2,0,8,2,5,5
3,1,11,2563,506404,4,404,40,154,598,62,245,0,0,4,4,0,4,0,4,0,1,5,4,5,9,8,0,6,2,2,4,5
4,16,10,2563,286051,51,51,38,189,464,45,980,0,5,1,0,5,1,0,3,8,1,8,9,4,6,4,0,4,5,9,8,0
5,1,10,2563,837893,93,893,59,594,757,110,595,0,9,3,8,9,3,0,5,9,5,9,4,7,5,7,1,1,0,5,9,5
6,16,9,2563,244083,83,83,57,127,220,623,853,0,8,3,0,8,3,0,5,7,1,2,7,2,2,0,6,2,3,8,5,3
7,1,9,2563,999997,97,997,98,636,725,342,957,0,9,7,9,9,7,0,9,8,6,3,6,7,2,5,3,4,2,9,5,7
8,16,8,2563,945811,11,811,88,614,712,364,733,0,1,1,8,1,1,0,8,8,6,1,4,7,1,2,3,6,4,7,3,3
9,1,8,2563,569391,91,391,92,575,931,578,809,0,9,1,3,9,1,0,9,2,5,7,5,9,3,1,5,7,8,8,0,9
10,16,7,2563,873286,86,286,53,510,533,494,682,0,8,6,2,8,6,0,5,3,5,1,0,5,3,3,4,9,4,6,8,2
11,1,7,2563,347258,58,258,83,95,362,94,307,0,5,8,2,5,8,0,8,3,0,9,5,3,6,2,0,9,4,3,0,7
12,16,6,2563,516967,67,967,64,876,882,565,625,0,6,7,9,6,7,0,6,4,8,7,6,8,8,2,5,6,5,6,2,5
13,1,6,2563,831567,67,567,24,264,489,562,582,0,6,7,5,6,7,0,2,4,2,6,4,4,8,9,5,6,2,5,8,2
14,1,4,2563,51095,95,95,22,285,430,191,364,0,9,5,0,9,5,0,2,2,2,8,5,4,3,0,1,9,1,3,6,4
